Local time,Open,High,Low,Close,Volume
31.12.2003 06:00:00.000 GMT+0800,1.25479,1.26455,1.25119,1.25899,1318539689453.125
01.01.2004 06:00:00.000 GMT+0800,1.25915,1.26035,1.24679,1.25434,512061697357.17786
02.01.2004 06:00:00.000 GMT+0800,1.25420,1.26263,1.25198,1.25806,1337402517578.125
03.01.2004 06:00:00.000 GMT+0800,1.25806,1.25806,1.25806,1.25806,0
04.01.2004 06:00:00.000 GMT+0800,1.25806,1.25806,1.25806,1.25806,0
05.01.2004 06:00:00.000 GMT+0800,1.25816,1.26924,1.25785,1.26727,1354226007812.5
06.01.2004 06:00:00.000 GMT+0800,1.26720,1.28083,1.26650,1.27230,1349584701171.875
07.01.2004 06:00:00.000 GMT+0800,1.27230,1.27404,1.26221,1.26296,1348413498046.875
08.01.2004 06:00:00.000 GMT+0800,1.26290,1.27786,1.25576,1.27635,1350773294921.875
09.01.2004 06:00:00.000 GMT+0800,1.27637,1.28665,1.27021,1.28123,1336174394531.25
10.01.2004 06:00:00.000 GMT+0800,1.28123,1.28123,1.28123,1.28123,0
11.01.2004 06:00:00.000 GMT+0800,1.28123,1.28123,1.28123,1.28123,0
12.01.2004 06:00:00.000 GMT+0800,1.28522,1.28956,1.27328,1.27467,1337453500000
13.01.2004 06:00:00.000 GMT+0800,1.27457,1.27947,1.27114,1.27698,1348261707031.25
14.01.2004 06:00:00.000 GMT+0800,1.27720,1.27871,1.26276,1.26447,1338604390625
15.01.2004 06:00:00.000 GMT+0800,1.26440,1.26693,1.25562,1.25756,1357261011718.75
16.01.2004 06:00:00.000 GMT+0800,1.25743,1.26071,1.23494,1.23936,1342086814453.125
17.01.2004 06:00:00.000 GMT+0800,1.23936,1.23936,1.23936,1.23936,0
18.01.2004 06:00:00.000 GMT+0800,1.23936,1.23936,1.23936,1.23936,0
19.01.2004 06:00:00.000 GMT+0800,1.23660,1.24226,1.23323,1.23468,1343509984375
20.01.2004 06:00:00.000 GMT+0800,1.23480,1.25940,1.23411,1.25767,1345896878906.25
21.01.2004 06:00:00.000 GMT+0800,1.25770,1.26695,1.25488,1.26409,1354933603515.625
22.01.2004 06:00:00.000 GMT+0800,1.26389,1.27475,1.26328,1.27169,1346658119140.625
23.01.2004 06:00:00.000 GMT+0800,1.27148,1.27732,1.25621,1.25781,1353179386718.75
24.01.2004 06:00:00.000 GMT+0800,1.25781,1.25781,1.25781,1.25781,0
25.01.2004 06:00:00.000 GMT+0800,1.25781,1.25781,1.25781,1.25781,0
26.01.2004 06:00:00.000 GMT+0800,1.25726,1.26095,1.24557,1.24565,1356641798828.125
