Local time,Open,High,Low,Close,Volume
31.12.2003 06:00:00.000 GMT+0800,106.970,107.710,106.739,107.195,581173398437.5
01.01.2004 06:00:00.000 GMT+0800,107.195,107.469,106.960,107.416,203911995574.95142
02.01.2004 06:00:00.000 GMT+0800,107.422,107.481,106.695,107.020,604275493164.0625
03.01.2004 06:00:00.000 GMT+0800,107.020,107.020,107.020,107.020,0
04.01.2004 06:00:00.000 GMT+0800,107.020,107.020,107.020,107.020,0
05.01.2004 06:00:00.000 GMT+0800,107.026,107.294,106.004,106.163,611109599609.375
06.01.2004 06:00:00.000 GMT+0800,106.178,106.374,105.974,106.135,613202703125
07.01.2004 06:00:00.000 GMT+0800,106.148,106.404,105.883,106.146,616836793945.3125
08.01.2004 06:00:00.000 GMT+0800,106.152,106.239,106.047,106.149,609784792968.75
09.01.2004 06:00:00.000 GMT+0800,106.162,108.193,106.065,106.746,612354893554.6875
10.01.2004 06:00:00.000 GMT+0800,106.746,106.746,106.746,106.746,0
11.01.2004 06:00:00.000 GMT+0800,106.746,106.746,106.746,106.746,0
12.01.2004 06:00:00.000 GMT+0800,106.580,106.726,106.313,106.602,618513796875
13.01.2004 06:00:00.000 GMT+0800,106.616,106.705,106.100,106.170,618227887695.3125
14.01.2004 06:00:00.000 GMT+0800,106.182,106.311,105.941,106.138,625842300781.25
15.01.2004 06:00:00.000 GMT+0800,106.130,106.463,105.950,106.318,624843798828.125
16.01.2004 06:00:00.000 GMT+0800,106.306,106.990,105.712,106.586,627821800781.25
17.01.2004 06:00:00.000 GMT+0800,106.586,106.586,106.586,106.586,0
18.01.2004 06:00:00.000 GMT+0800,106.586,106.586,106.586,106.586,0
19.01.2004 06:00:00.000 GMT+0800,106.590,107.459,106.334,107.200,624738394531.25
20.01.2004 06:00:00.000 GMT+0800,107.215,107.880,106.939,107.042,633319989257.8125
21.01.2004 06:00:00.000 GMT+0800,107.043,107.266,106.569,106.862,627496102539.0625
22.01.2004 06:00:00.000 GMT+0800,106.866,106.996,105.918,106.001,627588594726.5625
23.01.2004 06:00:00.000 GMT+0800,106.021,106.798,105.724,106.701,629581701171.875
24.01.2004 06:00:00.000 GMT+0800,106.701,106.701,106.701,106.701,0
25.01.2004 06:00:00.000 GMT+0800,106.701,106.701,106.701,106.701,0
26.01.2004 06:00:00.000 GMT+0800,106.548,106.711,105.768,106.341,626581993164.0625
27.01.2004 06:00:00.000 GMT+0800,106.355,106.411,105.448,105.495,604622297851.5625
28.01.2004 06:00:00.000 GMT+0800,105.497,106.553,105.422,106.183,625996803710.9375
29.01.2004 06:00:00.000 GMT+0800,106.222,106.291,105.622,105.918,625252292968.75
30.01.2004 06:00:00.000 GMT+0800,105.933,106.108,105.584,105.656,632151203125
31.01.2004 06:00:00.000 GMT+0800,105.656,105.656,105.656,105.656,0
01.02.2004 06:00:00.000 GMT+0800,105.656,105.656,105.656,105.656,0
02.02.2004 06:00:00.000 GMT+0800,105.585,105.780,105.363,105.508,618280710937.5
03.02.2004 06:00:00.000 GMT+0800,105.580,105.808,105.207,105.433,628571596679.6875
04.02.2004 06:00:00.000 GMT+0800,105.432,105.632,105.242,105.384,626111893554.6875
05.02.2004 06:00:00.000 GMT+0800,105.405,106.034,105.348,105.761,626200793945.3125
06.02.2004 06:00:00.000 GMT+0800,105.777,106.774,105.354,105.425,630623603515.625
07.02.2004 06:00:00.000 GMT+0800,105.425,105.425,105.425,105.425,0
08.02.2004 06:00:00.000 GMT+0800,105.425,105.425,105.425,105.425,0
09.02.2004 06:00:00.000 GMT+0800,105.630,106.022,105.487,105.540,628918494140.625
10.02.2004 06:00:00.000 GMT+0800,105.567,105.865,105.300,105.570,636242197265.625
11.02.2004 06:00:00.000 GMT+0800,105.553,105.693,105.142,105.395,628316294921.875
12.02.2004 06:00:00.000 GMT+0800,105.412,105.566,105.234,105.335,624199596679.6875
13.02.2004 06:00:00.000 GMT+0800,105.336,105.588,105.244,105.409,617642411132.8125
14.02.2004 06:00:00.000 GMT+0800,105.409,105.409,105.409,105.409,0
15.02.2004 06:00:00.000 GMT+0800,105.409,105.409,105.409,105.409,0
16.02.2004 06:00:00.000 GMT+0800,105.439,105.538,105.330,105.442,608856195312.5
17.02.2004 06:00:00.000 GMT+0800,105.461,105.960,105.401,105.622,617393999023.4375
18.02.2004 06:00:00.000 GMT+0800,105.637,107.098,105.482,106.705,626126903320.3125
19.02.2004 06:00:00.000 GMT+0800,106.718,107.404,106.270,107.000,624579203125
20.02.2004 06:00:00.000 GMT+0800,107.000,109.320,106.833,108.996,630671710937.5
21.02.2004 06:00:00.000 GMT+0800,108.996,108.996,108.996,108.996,0
22.02.2004 06:00:00.000 GMT+0800,108.996,108.996,108.996,108.996,0
23.02.2004 06:00:00.000 GMT+0800,108.945,109.353,108.039,108.324,630336389648.4375
24.02.2004 06:00:00.000 GMT+0800,108.322,108.719,108.002,108.148,631421691406.25
25.02.2004 06:00:00.000 GMT+0800,108.143,109.106,108.016,108.956,624756403320.3125
26.02.2004 06:00:00.000 GMT+0800,108.972,109.792,108.721,109.501,632942507812.5
27.02.2004 06:00:00.000 GMT+0800,109.500,109.678,108.864,109.108,633045903320.3125
28.02.2004 06:00:00.000 GMT+0800,109.108,109.108,109.108,109.108,0
29.02.2004 06:00:00.000 GMT+0800,109.108,109.108,109.108,109.108,0
01.03.2004 06:00:00.000 GMT+0800,109.023,109.396,108.843,108.944,635326300781.25
02.03.2004 06:00:00.000 GMT+0800,108.953,110.392,108.881,110.035,624456493164.0625
03.03.2004 06:00:00.000 GMT+0800,110.064,110.498,109.968,110.032,633142991210.9375
04.03.2004 06:00:00.000 GMT+0800,110.022,111.135,109.999,111.044,628768105468.75
05.03.2004 06:00:00.000 GMT+0800,111.067,112.266,110.942,111.979,628786202148.4375
06.03.2004 06:00:00.000 GMT+0800,111.979,111.979,111.979,111.979,0
07.03.2004 06:00:00.000 GMT+0800,111.979,111.979,111.979,111.979,0
08.03.2004 06:00:00.000 GMT+0800,112.065,112.276,111.076,111.135,628503498046.875
09.03.2004 06:00:00.000 GMT+0800,111.144,111.586,110.224,111.272,629417788085.9375
10.03.2004 06:00:00.000 GMT+0800,111.257,111.520,110.684,110.831,623864102539.0625
11.03.2004 06:00:00.000 GMT+0800,110.883,111.067,110.410,110.720,631685904296.875
12.03.2004 06:00:00.000 GMT+0800,110.717,111.360,110.586,110.750,621679798828.125
13.03.2004 06:00:00.000 GMT+0800,110.750,110.750,110.750,110.750,0
14.03.2004 06:00:00.000 GMT+0800,110.750,110.750,110.750,110.750,0
15.03.2004 06:00:00.000 GMT+0800,110.664,111.044,109.177,110.296,626154309570.3125
16.03.2004 06:00:00.000 GMT+0800,110.283,110.350,108.598,108.700,633296803710.9375
17.03.2004 06:00:00.000 GMT+0800,108.727,108.952,107.948,108.248,628056703125
18.03.2004 06:00:00.000 GMT+0800,108.248,108.348,106.373,106.802,630848096679.6875
19.03.2004 06:00:00.000 GMT+0800,106.834,107.279,106.597,106.664,625239607421.875
20.03.2004 06:00:00.000 GMT+0800,106.664,106.664,106.664,106.664,0
21.03.2004 06:00:00.000 GMT+0800,106.664,106.664,106.664,106.664,0
22.03.2004 06:00:00.000 GMT+0800,106.789,107.634,106.682,106.878,623039908203.125
23.03.2004 06:00:00.000 GMT+0800,106.866,106.922,106.434,106.722,628068586914.0625
24.03.2004 06:00:00.000 GMT+0800,106.734,106.930,106.004,106.200,623364500000
25.03.2004 06:00:00.000 GMT+0800,106.208,106.451,105.739,106.140,634309608398.4375
26.03.2004 06:00:00.000 GMT+0800,106.146,106.222,105.493,105.982,628863399414.0625
27.03.2004 06:00:00.000 GMT+0800,105.982,105.982,105.982,105.982,0
28.03.2004 06:00:00.000 GMT+0800,105.982,105.982,105.982,105.982,0
29.03.2004 06:00:00.000 GMT+0800,105.509,105.910,105.236,105.490,631770111328.125
30.03.2004 06:00:00.000 GMT+0800,105.488,106.199,105.364,105.721,610500203125
31.03.2004 06:00:00.000 GMT+0800,105.723,105.897,103.416,104.190,634497297851.5625
01.04.2004 06:00:00.000 GMT+0800,104.185,104.471,103.450,103.623,628858994140.625
02.04.2004 06:00:00.000 GMT+0800,103.646,104.728,103.626,104.436,630662204101.5625
03.04.2004 06:00:00.000 GMT+0800,104.436,104.436,104.436,104.436,0
04.04.2004 06:00:00.000 GMT+0800,104.436,104.436,104.436,104.436,0
05.04.2004 05:00:00.000 GMT+0800,104.453,105.429,104.104,104.863,627767306640.625
06.04.2004 05:00:00.000 GMT+0800,104.868,107.150,104.858,105.690,631659100585.9375
07.04.2004 05:00:00.000 GMT+0800,105.670,106.131,104.945,105.198,634298507812.5
08.04.2004 05:00:00.000 GMT+0800,105.189,106.399,105.180,106.245,630414197265.625
09.04.2004 05:00:00.000 GMT+0800,106.250,106.756,105.931,106.340,525995505859.375
10.04.2004 05:00:00.000 GMT+0800,106.340,106.340,106.340,106.340,0
11.04.2004 05:00:00.000 GMT+0800,106.340,106.340,106.340,106.340,0
12.04.2004 05:00:00.000 GMT+0800,106.334,106.431,105.234,105.334,623389995117.1875
13.04.2004 05:00:00.000 GMT+0800,105.378,107.004,105.025,106.514,627825804687.5
14.04.2004 05:00:00.000 GMT+0800,106.527,108.978,106.527,108.589,638052498046.875
15.04.2004 05:00:00.000 GMT+0800,108.590,109.212,108.211,108.241,640136790039.0625
16.04.2004 05:00:00.000 GMT+0800,108.247,108.864,107.476,107.747,642085394531.25
17.04.2004 05:00:00.000 GMT+0800,107.747,107.747,107.747,107.747,0
18.04.2004 05:00:00.000 GMT+0800,107.747,107.747,107.747,107.747,0
19.04.2004 05:00:00.000 GMT+0800,107.678,108.674,107.583,108.385,624441802734.375
20.04.2004 05:00:00.000 GMT+0800,108.373,108.858,107.656,108.722,634008101562.5
21.04.2004 05:00:00.000 GMT+0800,108.755,109.741,108.537,109.341,634393706054.6875
